year,LandAverageTemperature,LandAndOceanAverageTemperature
1750,7.99275,0.0
1751,4.65275,0.0
1752,2.8899166666666667,0.0
1753,8.388083333333332,0.0
1754,8.469333333333333,0.0
1755,8.355583333333334,0.0
1756,8.849583333333333,0.0
1757,9.022,0.0
1758,6.7435833333333335,0.0
1759,7.985083333333333,0.0
1760,7.1851666666666665,0.0
1761,8.7725,0.0
1762,8.6065,0.0
1763,7.49675,0.0
1764,8.400333333333334,0.0
1765,8.251916666666666,0.0
1766,8.405666666666667,0.0
1767,8.2215,0.0
1768,6.781333333333333,0.0
1769,7.694583333333333,0.0
1770,7.691916666666667,0.0
1771,7.853166666666667,0.0
1772,8.1935,0.0
1773,8.2215,0.0
1774,8.772166666666667,0.0
1775,9.183083333333334,0.0
1776,8.304,0.0
1777,8.25625,0.0
1778,8.542250000000001,0.0
1779,8.98325,0.0
1780,9.432916666666666,0.0
1781,8.102583333333333,0.0
1782,7.90125,0.0
1783,7.680833333333333,0.0
1784,7.861999999999999,0.0
1785,7.3629999999999995,0.0
1786,8.258166666666666,0.0
1787,8.031833333333333,0.0
1788,8.447166666666666,0.0
1789,8.334166666666667,0.0
1790,7.982333333333333,0.0
1791,8.234250000000001,0.0
1792,8.089,0.0
1793,8.229166666666666,0.0
1794,8.526,0.0
1795,8.350333333333333,0.0
1796,8.270999999999999,0.0
1797,8.510583333333333,0.0
1798,8.670250000000001,0.0
1799,8.50575,0.0
1800,8.48425,0.0
1801,8.589666666666666,0.0
1802,8.578166666666666,0.0
1803,8.503,0.0
1804,8.844833333333332,0.0
1805,8.56275,0.0
1806,8.434083333333334,0.0
1807,8.281416666666667,0.0
1808,7.626833333333334,0.0
1809,7.076416666666667,0.0
1810,6.922666666666667,0.0
1811,6.859500000000001,0.0
1812,7.046250000000001,0.0
1813,7.739916666666667,0.0
1814,7.59175,0.0
1815,7.239333333333334,0.0
1816,6.9375,0.0
1817,6.975666666666666,0.0
1818,7.828916666666667,0.0
1819,7.3691666666666675,0.0
1820,7.61625,0.0
1821,8.090083333333334,0.0
1822,8.188333333333334,0.0
1823,7.718666666666667,0.0
1824,8.547166666666667,0.0
1825,8.389333333333333,0.0
1826,8.356583333333333,0.0
1827,8.80875,0.0
1828,8.165333333333335,0.0
1829,7.941833333333332,0.0
1830,8.51675,0.0
1831,7.639166666666667,0.0
1832,7.450166666666667,0.0
1833,8.013,0.0
1834,8.146749999999999,0.0
1835,7.392499999999999,0.0
1836,7.695833333333334,0.0
1837,7.375666666666667,0.0
1838,7.514916666666667,0.0
1839,7.63225,0.0
1840,7.79625,0.0
1841,7.688166666666667,0.0
1842,8.02275,0.0
1843,8.173666666666668,0.0
1844,7.646333333333334,0.0
1845,7.851166666666667,0.0
1846,8.55275,0.0
1847,8.086,0.0
1848,7.979500000000001,0.0
1849,7.984416666666667,0.0
1850,7.900666666666666,14.867166666666668
1851,8.178583333333334,14.991833333333332
1852,8.100166666666667,15.0065
1853,8.041833333333333,14.955166666666665
1854,8.2105,14.991
1855,8.110750000000001,15.021083333333332
1856,7.995916666666667,14.879333333333333
1857,7.758166666666667,14.758249999999999
1858,8.10025,14.8815
1859,8.252,14.929916666666665
1860,7.960833333333333,14.882916666666667
1861,7.8465,14.800666666666666
1862,7.558583333333334,14.740083333333333
1863,8.111833333333333,14.93575
1864,7.983583333333333,14.896500000000001
1865,8.177833333333334,14.996666666666668
1866,8.292166666666667,15.057
1867,8.436333333333334,15.058666666666667
1868,8.247916666666667,15.096916666666667
1869,8.432083333333333,15.0655
1870,8.201333333333332,15.004333333333333
1871,8.115083333333333,15.005916666666666
1872,8.193833333333332,15.019333333333334
1873,8.351083333333333,15.04925
1874,8.4335,14.957
1875,7.859583333333333,14.921916666666666
1876,8.080083333333333,14.909416666666667
1877,8.539583333333333,15.282666666666666
1878,8.829749999999999,15.357416666666666
1879,8.165833333333333,15.064416666666666
1880,8.11875,15.008666666666665
1881,8.270916666666666,15.087166666666667
1882,8.128916666666667,15.056583333333334
1883,7.976916666666667,14.96325
1884,7.773666666666666,14.83325
1885,7.919666666666667,14.854416666666665
1886,7.9545,14.83525
1887,7.914916666666667,14.816
1888,8.0905,14.994083333333334
1889,8.319,15.113416666666666
1890,7.971666666666667,14.84075
1891,8.019333333333334,14.943833333333332
1892,8.065833333333332,14.8825
1893,8.05675,14.91225
1894,8.161,14.91475
1895,8.147,14.969
1896,8.214916666666667,15.090583333333333
1897,8.293333333333333,15.075333333333333
1898,8.177999999999999,14.886916666666666
1899,8.396333333333333,15.048333333333332
1900,8.501583333333334,15.143916666666668
1901,8.541916666666667,15.073333333333332
1902,8.304416666666667,14.958333333333334
1903,8.220166666666666,14.836583333333332
1904,8.090916666666667,14.810416666666667
1905,8.225166666666667,14.954666666666666
1906,8.379083333333334,15.031916666666667
1907,7.947166666666667,14.874833333333333
1908,8.186083333333334,14.838166666666666
1909,8.17825,14.790333333333335
1910,8.223,14.819083333333333
1911,8.177000000000001,14.776000000000002
1912,8.165416666666667,14.877166666666668
