Region;Temperature
Åland;-4.073
Åland;-6.484
Åland;-3.947
Åland;2.928
Åland;6.154
Åland;13.999
Åland;16.32
Åland;15.173
Åland;12.852
Åland;6.433
Åland;0.6359999999999997
Åland;0.1969999999999999
Åland;-2.24
Åland;-2.7030000000000003
Åland;-3.264
Åland;1.891
Åland;8.728
Åland;11.205
Åland;15.542
Åland;14.59
Åland;11.185
Åland;7.112
Åland;2.634
Åland;-3.987
Åland;-6.269
Åland;-3.43
Åland;0.7979999999999999
Åland;2.216
Åland;7.246
Åland;10.412
Åland;15.839
Åland;16.213
Åland;11.704999999999998
Åland;7.353
Åland;5.624
Åland;1.676
Åland;1.2910000000000004
Åland;-3.616
Åland;-0.8990000000000001
Åland;2.632
Åland;8.195
Åland;11.882
Åland;16.167
Åland;15.893
Åland;12.361
Åland;7.608
Åland;2.017
Åland;78
Åland;-2.335
Åland;-1.5889999999999995
Åland;-2.92
Åland;3.202
Åland;9.225
Åland;12.36
Åland;14.764
Åland;15.776
Åland;10.954999999999998
Åland;8.902999999999999
Åland;4.683
Åland;1.793
Åland;-8.916
Åland;-12.097
Åland;-2.063
Åland;0.0430000000000001
Åland;6.4110000000000005
Åland;11.522
Åland;15.198
Åland;15.491
Åland;10.344
Åland;8.023
Åland;1.3330000000000002
Åland;-3.683
Åland;-4.415
Åland;-8.442
Åland;0.0249999999999999
Åland;0.6880000000000002
Åland;9.182
Åland;14.012
Åland;15.37
Åland;13.326
Åland;8.751999999999999
Åland;7.246
Åland;5.709
Åland;-1.452
Åland;-11.867
Åland;-4.468
Åland;-5.35
Åland;1.902
Åland;5.457000000000001
Åland;9.809
Åland;14.457
Åland;12.422
Åland;10.195
Åland;8.755
Åland;3.474
Åland;-0.1669999999999999
Åland;879
Åland;-0.6859999999999999
Åland;-2.029
Åland;1.4560000000000002
Åland;8.666
Åland;13.46
Åland;17.769000000000005
Åland;14.505
Åland;12.736
Åland;6.447
Åland;0.4689999999999994
Åland;-1.653
Åland;2.818
Åland;2.508
Åland;2.2669999999999995
Åland;3.417
Åland;9.114
Åland;13.169
Åland;16.119
Åland;14.955
Åland;12.664
Åland;7.678
Åland;3.596
Åland;-1.3119999999999998
Åland;0.5150000000000001
Åland;3.3500000000000005
Åland;3.1339999999999995
Åland;4.846
Åland;8.708
Åland;12.595
Åland;14.767
Åland;16.074
Åland;10.533
Åland;7.542999999999999
Åland;2.475
Åland;2.1169999999999995
Åland;0.5480000000000005
Åland;-2.957
Åland;1.0419999999999998
Åland;3.25
Åland;6.053
Åland;10.076
Åland;16.352999999999998
Åland;16.968
Åland;11.265
Åland;7.646
Åland;4.879
Åland;2.081
Åland;1.7030000000000003
Åland;0.5019999999999998
Åland;1.943
Åland;1.384
Åland;9.979
Åland;14.622
Åland;15.315
Åland;15.057
Åland;11.903
Åland;3.718
Åland;2.77
Åland;2.4919999999999995
Åland;1.1180000000000003
Åland;0.0019999999999997
Åland;0.8610000000000002
Åland;3.3230000000000004
Åland;10.065
Åland;10.173000000000002
Åland;15.052
Åland;13.678
Åland;8.834
Åland;6.131
Åland;1.3630000000000002
Åland;281
Åland;-1.3209999999999995
Åland;-8.209
Åland;-1.0570000000000002
Åland;4.0440000000000005
Åland;6.74
Åland;11.252
Åland;18.356
Åland;16.23
Åland;11.828
Åland;6.5390000000000015
Åland;3.449
Åland;2.943
Åland;-0.8659999999999997
Åland;0.9089999999999998
