year,LandAverageTemperatureUncertainty
1750,2.4179999999999997
1751,1.6223333333333334
1752,1.4885000000000002
1753,3.176
1754,3.4942499999999996
1755,3.8503333333333334
1756,3.262333333333333
1757,4.026
1758,3.362916666666667
1759,3.6789166666666664
1760,3.0889166666666665
1761,3.144833333333333
1762,3.52425
1763,3.1515833333333334
1764,2.7752499999999998
1765,2.42775
1766,2.8358333333333334
1767,2.962666666666667
1768,2.266
1769,2.410083333333333
1770,2.780666666666667
1771,2.6045833333333333
1772,2.463833333333333
1773,2.36075
1774,3.4151666666666665
1775,2.3205833333333334
1776,2.8641666666666663
1777,2.442833333333333
1778,2.8725
1779,2.5058333333333334
1780,2.5848333333333335
1781,2.503833333333333
1782,2.5505833333333334
1783,2.4944166666666665
1784,2.2556666666666665
1785,2.2395
1786,2.5254166666666666
1787,2.3617500000000002
1788,2.5578333333333334
1789,1.8686666666666667
1790,1.7716666666666665
1791,1.7837500000000002
1792,1.7004166666666667
1793,2.2744166666666668
1794,1.979
1795,2.0433333333333334
1796,1.9206666666666667
1797,2.045666666666667
1798,1.9033333333333333
1799,1.7384166666666667
1800,1.7186666666666668
1801,1.5816666666666668
1802,1.849
1803,1.6331666666666667
1804,1.8418333333333334
1805,1.6889166666666666
1806,1.5700833333333335
1807,1.59225
1808,1.9968333333333332
1809,2.1354166666666665
1810,2.311
1811,2.0957500000000002
1812,2.1355833333333334
1813,1.7088333333333334
1814,2.1685
1815,1.9665
1816,2.1929166666666666
1817,1.7083333333333333
1818,1.8290833333333332
1819,1.5819166666666666
1820,1.6187500000000001
1821,1.3758333333333332
1822,1.37525
1823,1.3622500000000002
1824,1.4478333333333333
1825,1.5078333333333334
1826,1.5595833333333333
1827,1.4435833333333334
1828,1.6484166666666666
1829,1.31975
1830,1.4314166666666666
1831,1.5315
1832,1.5404166666666665
1833,1.2335
1834,1.15225
1835,1.2753333333333334
1836,1.1694166666666665
1837,1.2909166666666667
1838,1.1623333333333334
1839,1.1794166666666668
1840,0.9911666666666666
1841,0.952
1842,0.8975
1843,0.7498333333333332
1844,0.926
1845,0.8815
1846,1.05175
1847,0.9006666666666666
1848,0.8713333333333333
1849,0.9135833333333334
1850,0.8764166666666666
1851,0.8819166666666667
1852,0.91825
1853,0.835
1854,0.8256666666666667
1855,0.8871666666666668
1856,0.7607499999999999
1857,0.7510833333333333
1858,0.69975
1859,0.6746666666666666
1860,0.626
1861,0.6534166666666666
1862,0.6889166666666666
1863,0.7480000000000001
1864,0.6764166666666666
1865,0.6621666666666667
1866,0.606
1867,0.6348333333333334
1868,0.5463333333333333
1869,0.5956666666666667
1870,0.5501666666666667
1871,0.57025
1872,0.5890833333333333
1873,0.5505
1874,0.5179166666666667
1875,0.4515
1876,0.4335
1877,0.4559166666666667
1878,0.42491666666666666
1879,0.46341666666666664
1880,0.41491666666666666
1881,0.41933333333333334
1882,0.3799166666666667
1883,0.3706666666666667
1884,0.39625
1885,0.425
