city,latitude,longitude,average_temp,lat,lon
Kabul,34.56N,"70.05E",1.705,34.56,70.05
Kabul,34.56N,"70.05E",3.26,34.56,70.05
Kabul,34.56N,"70.05E",7.684,34.56,70.05
Kabul,34.56N,"70.05E",16.67,34.56,70.05
Kabul,34.56N,"70.05E",21.618,34.56,70.05
Kabul,34.56N,"70.05E",25.449,34.56,70.05
Kabul,34.56N,"70.05E",26.211,34.56,70.05
Kabul,34.56N,"70.05E",24.641,34.56,70.05
Kabul,34.56N,"70.05E",21.05,34.56,70.05
Kabul,34.56N,"70.05E",15.992,34.56,70.05
Kabul,34.56N,"70.05E",10.421,34.56,70.05
Kabul,34.56N,"70.05E",5.635,34.56,70.05
Kabul,34.56N,"70.05E",2.546,34.56,70.05
Kabul,34.56N,"70.05E",4.821,34.56,70.05
Kabul,34.56N,"70.05E",9.764,34.56,70.05
Kabul,34.56N,"70.05E",15.779,34.56,70.05
Kabul,34.56N,"70.05E",21.064,34.56,70.05
Kabul,34.56N,"70.05E",25.265,34.56,70.05
Kabul,34.56N,"70.05E",25.998,34.56,70.05
Kabul,34.56N,"70.05E",24.527,34.56,70.05
Kabul,34.56N,"70.05E",21.204,34.56,70.05
Kabul,34.56N,"70.05E",14.332,34.56,70.05
Kabul,34.56N,"70.05E",9.299,34.56,70.05
Kabul,34.56N,"70.05E",4.911,34.56,70.05
Kabul,34.56N,"70.05E",2.885,34.56,70.05
Kabul,34.56N,"70.05E",1.774,34.56,70.05
Kabul,34.56N,"70.05E",6.954,34.56,70.05
Kabul,34.56N,"70.05E",14.991,34.56,70.05
Kabul,34.56N,"70.05E",19.822,34.56,70.05
Kabul,34.56N,"70.05E",24.993,34.56,70.05
Kabul,34.56N,"70.05E",26.411,34.56,70.05
Kabul,34.56N,"70.05E",24.771,34.56,70.05
Kabul,34.56N,"70.05E",20.679,34.56,70.05
Kabul,34.56N,"70.05E",15.375,34.56,70.05
Kabul,34.56N,"70.05E",8.265,34.56,70.05
Kabul,34.56N,"70.05E",2.471,34.56,70.05
Kabul,34.56N,"70.05E",2.119,34.56,70.05
Kabul,34.56N,"70.05E",4.493,34.56,70.05
Kabul,34.56N,"70.05E",6.478,34.56,70.05
Kabul,34.56N,"70.05E",12.775,34.56,70.05
Kabul,34.56N,"70.05E",20.208,34.56,70.05
Kabul,34.56N,"70.05E",24.433,34.56,70.05
Kabul,34.56N,"70.05E",26.143,34.56,70.05
Kabul,34.56N,"70.05E",25.101,34.56,70.05
Kabul,34.56N,"70.05E",22.354,34.56,70.05
Kabul,34.56N,"70.05E",14.88,34.56,70.05
Kabul,34.56N,"70.05E",10.288,34.56,70.05
Kabul,34.56N,"70.05E",3.857,34.56,70.05
Kabul,34.56N,"70.05E",2.042,34.56,70.05
Kabul,34.56N,"70.05E",1.333,34.56,70.05
Kabul,34.56N,"70.05E",11.487,34.56,70.05
Kabul,34.56N,"70.05E",15.076,34.56,70.05
Kabul,34.56N,"70.05E",22.526,34.56,70.05
Kabul,34.56N,"70.05E",27.001,34.56,70.05
Kabul,34.56N,"70.05E",26.041,34.56,70.05
Kabul,34.56N,"70.05E",25.609,34.56,70.05
Kabul,34.56N,"70.05E",20.323,34.56,70.05
Kabul,34.56N,"70.05E",15.305,34.56,70.05
Kabul,34.56N,"70.05E",9.832,34.56,70.05
Kabul,34.56N,"70.05E",2.874,34.56,70.05
Kabul,34.56N,"70.05E",2.153,34.56,70.05
Kabul,34.56N,"70.05E",6.809,34.56,70.05
Kabul,34.56N,"70.05E",11.017,34.56,70.05
Kabul,34.56N,"70.05E",15.859,34.56,70.05
Kabul,34.56N,"70.05E",20.946,34.56,70.05
Kabul,34.56N,"70.05E",26.285,34.56,70.05
Kabul,34.56N,"70.05E",26.824,34.56,70.05
Kabul,34.56N,"70.05E",24.971,34.56,70.05
Kabul,34.56N,"70.05E",22.058,34.56,70.05
Kabul,34.56N,"70.05E",15.121,34.56,70.05
Kabul,34.56N,"70.05E",9.766,34.56,70.05
Kabul,34.56N,"70.05E",4.489,34.56,70.05
Kabul,34.56N,"70.05E",2.812,34.56,70.05
Kabul,34.56N,"70.05E",4.867,34.56,70.05
